state	action
0	1
1	1
2	1
3	-1
4	-1
5	-1
6	-1
7	-1
10	-1
11	-1
17	-1
18	-1
25	0
26	-1
33	-1
59	-1
60	-1
63	1
64	1
65	-1
66	-1
67	-1
68	-1
69	-1
70	1
71	1
73	-1
74	-1
81	-1
111	1
118	1
119	1
120	-1
121	-1
122	-1
123	-1
124	-1
125	1
126	1
127	1
129	1
133	-1
134	-1
138	1
147	-1
152	0
161	-1
168	1
176	0
184	0
193	0
200	0
208	1
216	-1
224	0
232	-1
240	-1
248	-1
255	0
266	0
274	-1
280	1
281	-1
296	1
297	-1
304	1
312	0
328	-1
329	0
337	-1
351	0
352	-1
367	0
375	0
383	-1
394	-1
401	1
409	0
416	1
425	0
432	0
433	0
440	-1
463	1
465	-1
471	0
472	0
487	0
495	0
502	1
515	-1
538	-1
545	0
560	1
561	-1
562	-1
569	-1
575	1
576	0
578	-1
583	1
585	-1
590	1
591	1
600	-1
607	0
615	0
644	-1
681	0
682	-1
683	-1
688	1
689	-1
696	1
699	-1
704	0
719	1
720	-1
725	1
726	1
727	1
735	0
743	-1
750	1
758	0
772	0
773	-1
781	-1
803	-1
812	-1
817	0
824	1
825	-1
828	-1
832	0
840	-1
847	1
852	1
854	1
855	0
861	1
862	1
871	-1
878	1
885	1
893	1
900	0
901	0
908	1
932	-1
949	-1
953	-1
956	0
960	0
965	-1
971	1
975	1
982	1
988	1
989	1
990	0
1013	1
1020	1
1021	0
1024	0
1025	0
1026	-1
1027	1
1028	1
1029	-1
1030	-1
1031	0
1033	0
1069	-1
1085	0
1088	0
1089	1
1090	0
1091	0
1092	1
1093	-1
1094	-1
1095	-1
1098	1
1107	1
1116	1
1117	1
1125	1
1134	-1
1142	0
1144	1
1145	1
1146	1
1147	1
1148	1
1149	0
1150	0
1151	-1
1152	-1
1159	0
1161	0
1169	0
1205	0
1214	-1
1226	1
1235	1
1244	1
1253	0
1262	-1
1270	0
1273	1
1274	1
1275	1
1276	1
1287	1
1297	0
1305	1
1363	1
1381	-1
1389	0
1402	1
1403	1
1408	1
1433	1
1442	0
1450	0
1458	0
1466	0
1474	1
1483	0
1492	-1
1508	1
1516	1
1517	0
1525	0
1537	0
1570	0
1578	0
1586	1
1595	-1
1603	0
1611	1
1627	1
1629	-1
1644	0
1653	0
1661	0
1670	1
1671	1
1673	1
1723	0
1732	-1
1740	-1
1756	-1
1763	1
1765	0
1780	1
1788	1
1792	1
1797	1
1798	1
1799	1
1802	0
1810	-1
1817	1
1843	0
1852	-1
1860	0
1868	0
1875	1
1883	0
1901	0
1908	0
1915	1
1916	0
1920	1
1921	0
1922	1
1923	-1
1924	1
1925	1
1926	1
1927	1
1929	1
1931	-1
1938	0
1946	0
1954	1
1963	0
1968	1
1969	1
1976	1
1977	1
1978	1
1983	1
1984	1
1985	1
1986	1
1987	1
1988	0
1989	-1
1990	1
1991	1
1994	1
1995	0
2003	0
2032	1
2033	1
2037	0
2040	1
2041	1
2042	1
2043	1
2044	-1
2045	-1
2046	-1
2047	1
